,Date,B_Zero,B_Low,B_Medium,B_High
0,2021-03-01,1079,6317,4102,9615
1,2021-04-01,3084,4795,2941,12042
2,2021-04-13,4628,6316,3092,12638
3,2021-06-24,3553,6299,2589,13722
4,2021-07-17,3499,6336,2608,13755
5,2021-08-18,3557,6384,2670,13790
6,2021-09-22,3573,6429,2708,13813
7,2021-10-15,3566,6466,2722,13810
8,2021-11-24,3575,6493,2738,13827
9,2021-12-20,3500,6466,2731,13828
10,2021-12-22,3505,6452,2567,13442
11,2022-01-23,2248,6687,2857,13921
12,2022-02-21,2864,6369,2665,13643
13,2022-03-10,2953,6347,2782,13736
14,2022-04-23,3110,6273,2745,13641
15,2022-06-05,3324,6436,2684,13617
16,2022-06-23,3381,6471,2593,13594
17,2022-07-17,3445,6518,2583,13576
18,2022-08-11,3530,6629,2592,13658
19,2022-09-13,3539,6378,2552,13739
20,2022-10-18,3267,6308,2548,13879
21,2022-11-17,3241,6312,2469,13896
22,2022-12-26,3246,6257,2502,13924
23,2023-03-28,4592,5432,2168,12970
24,2023-04-22,4645,5363,2163,12958
25,2023-05-02,1549,7105,2855,14192
26,2023-11-01,2680,6604,2467,13682
