,Date,Type,B_Zero,B_Low,B_Medium,B_High
0,2021-03-01,Commercial,96.0,296.0,210.0,411.0
1,2021-03-01,Duplex,116.0,650.0,528.0,1409.0
2,2021-03-01,Empty Lot,366.0,3441.0,1921.0,5122.0
3,2021-03-01,Multi-Unit,36.0,173.0,134.0,391.0
4,2021-03-01,Other,90.0,250.0,140.0,246.0
5,2021-03-01,Single-Family,375.0,1507.0,1169.0,2036.0
6,2021-04-01,Commercial,149.0,190.0,162.0,323.0
7,2021-04-01,Duplex,191.0,688.0,667.0,1178.0
8,2021-04-01,Empty Lot,1980.0,1843.0,335.0,8010.0
9,2021-04-01,Mixed-Use,19.0,31.0,33.0,73.0
10,2021-04-01,Multi-Unit,49.0,176.0,209.0,351.0
11,2021-04-01,Other,1.0,1.0,2.0,0.0
12,2021-04-01,Single-Family,695.0,1866.0,1533.0,2107.0
13,2021-04-13,Commercial,218.0,217.0,193.0,346.0
14,2021-04-13,Duplex,261.0,790.0,693.0,1198.0
15,2021-04-13,Empty Lot,3033.0,2984.0,363.0,8520.0
16,2021-04-13,Mixed-Use,21.0,44.0,39.0,75.0
17,2021-04-13,Multi-Unit,70.0,202.0,223.0,358.0
18,2021-04-13,Other,1.0,1.0,2.0,0.0
19,2021-04-13,Single-Family,1024.0,2078.0,1579.0,2141.0
20,2021-06-24,Commercial,195.0,234.0,192.0,406.0
21,2021-06-24,Duplex,219.0,636.0,473.0,1517.0
22,2021-06-24,Empty Lot,2143.0,3528.0,522.0,8507.0
23,2021-06-24,Mixed-Use,19.0,39.0,35.0,78.0
24,2021-06-24,Multi-Unit,63.0,169.0,159.0,484.0
25,2021-06-24,Other,1.0,1.0,2.0,0.0
26,2021-06-24,Single-Family,913.0,1692.0,1206.0,2730.0
27,2021-07-17,Commercial,191.0,243.0,194.0,410.0
28,2021-07-17,Duplex,222.0,630.0,479.0,1524.0
29,2021-07-17,Empty Lot,2096.0,3588.0,531.0,8504.0
30,2021-07-17,Mixed-Use,18.0,40.0,33.0,80.0
31,2021-07-17,Multi-Unit,67.0,166.0,159.0,486.0
32,2021-07-17,Other,1.0,1.0,2.0,0.0
33,2021-07-17,Single-Family,904.0,1668.0,1210.0,2751.0
34,2021-08-18,Commercial,194.0,255.0,200.0,412.0
35,2021-08-18,Duplex,226.0,634.0,492.0,1531.0
36,2021-08-18,Empty Lot,2122.0,3592.0,534.0,8502.0
